gridID_50,region_50,taxo_group,nyear,nyear_b70,nyear_a70
798,mediterranean,hoverflies,2,0,2
799,mediterranean,bees,3,2,1
800,mediterranean,bees,9,0,9
800,mediterranean,hoverflies,9,0,9
801,mediterranean,bees,17,3,14
801,mediterranean,hoverflies,7,0,7
802,mediterranean,bees,6,0,6
802,mediterranean,hoverflies,6,0,6
803,mediterranean,bees,6,0,6
803,mediterranean,hoverflies,4,0,4
804,atlantic,bees,7,2,5
804,atlantic,hoverflies,4,0,4
805,atlantic,bees,1,1,0
805,atlantic,hoverflies,4,0,4
816,atlantic,bees,6,1,5
848,mediterranean,bees,21,5,16
848,mediterranean,hoverflies,15,0,15
849,mediterranean,bees,25,10,15
849,mediterranean,hoverflies,16,1,15
850,mediterranean,bees,7,1,6
850,mediterranean,hoverflies,8,0,8
851,mediterranean,bees,5,3,2
851,mediterranean,hoverflies,6,0,6
852,mediterranean,bees,15,3,12
852,mediterranean,hoverflies,6,1,5
853,mediterranean,bees,15,0,15
853,mediterranean,hoverflies,14,0,14
854,mediterranean,bees,12,0,12
854,mediterranean,hoverflies,6,0,6
855,mediterranean,bees,10,0,10
855,mediterranean,hoverflies,7,0,7
856,atlantic,bees,9,3,6
856,atlantic,hoverflies,3,0,3
857,atlantic,bees,2,0,2
857,atlantic,hoverflies,4,0,4
868,atlantic,bees,7,0,7
869,atlantic,bees,15,6,9
900,mediterranean,bees,36,13,23
900,mediterranean,hoverflies,17,1,16
901,mediterranean,bees,23,3,20
901,mediterranean,hoverflies,12,0,12
902,mediterranean,bees,3,0,3
902,mediterranean,hoverflies,1,0,1
904,mediterranean,hoverflies,6,0,6
905,mediterranean,bees,10,0,10
905,mediterranean,hoverflies,25,0,25
906,mediterranean,bees,2,0,2
907,mediterranean,bees,11,0,11
907,mediterranean,hoverflies,2,0,2
908,mediterranean,bees,13,2,11
908,mediterranean,hoverflies,3,0,3
909,atlantic,bees,9,0,9
909,atlantic,hoverflies,17,0,17
910,atlantic,hoverflies,3,0,3
921,atlantic,bees,25,6,19
921,atlantic,hoverflies,1,0,1
953,mediterranean,bees,57,16,41
953,mediterranean,hoverflies,17,0,17
954,mediterranean,bees,3,0,3
954,mediterranean,hoverflies,2,0,2
955,mediterranean,bees,5,2,3
955,mediterranean,hoverflies,3,0,3
957,mediterranean,bees,13,1,12
957,mediterranean,hoverflies,8,0,8
958,mediterranean,bees,26,4,22
958,mediterranean,hoverflies,23,0,23
959,mediterranean,bees,5,0,5
959,mediterranean,hoverflies,17,0,17
960,mediterranean,bees,12,0,12
960,mediterranean,hoverflies,2,0,2
961,mediterranean,bees,11,4,7
961,mediterranean,hoverflies,12,0,12
962,atlantic,bees,9,3,6
962,atlantic,hoverflies,8,0,8
973,atlantic,bees,37,9,28
974,atlantic,bees,24,1,23
974,atlantic,hoverflies,1,0,1
1005,mediterranean,bees,15,5,10
1005,mediterranean,hoverflies,2,0,2
1006,mediterranean,bees,18,1,17
1006,mediterranean,hoverflies,9,0,9
1007,mediterranean,bees,2,0,2
1007,mediterranean,hoverflies,10,0,10
1008,mediterranean,bees,2,2,0
1008,mediterranean,hoverflies,1,0,1
1009,mediterranean,bees,8,1,7
1009,mediterranean,hoverflies,10,0,10
1010,mediterranean,bees,23,4,19
1010,mediterranean,hoverflies,13,0,13
1011,mediterranean,bees,25,1,24
1011,mediterranean,hoverflies,6,0,6
1012,mediterranean,bees,8,1,7
1012,mediterranean,hoverflies,3,0,3
1013,mediterranean,bees,2,0,2
1013,mediterranean,hoverflies,6,0,6
1014,atlantic,bees,15,8,7
1014,atlantic,hoverflies,15,0,15
1026,atlantic,bees,31,8,23
1026,atlantic,hoverflies,2,0,2
1027,atlantic,bees,18,4,14
1028,atlantic,bees,23,0,23
1028,atlantic,hoverflies,2,0,2
1029,atlantic,bees,14,1,13
1058,mediterranean,bees,46,11,35
1058,mediterranean,hoverflies,22,0,22
1059,mediterranean,bees,6,2,4
1059,mediterranean,hoverflies,4,0,4
1060,mediterranean,bees,8,4,4
1061,mediterranean,bees,2,0,2
1061,mediterranean,hoverflies,2,0,2
1062,mediterranean,bees,5,0,5
1062,mediterranean,hoverflies,10,1,9
1063,mediterranean,bees,16,1,15
1063,mediterranean,hoverflies,13,1,12
1064,mediterranean,bees,7,1,6
1064,mediterranean,hoverflies,1,0,1
1065,mediterranean,bees,9,0,9
1065,mediterranean,hoverflies,3,0,3
1066,mediterranean,bees,10,3,7
1066,mediterranean,hoverflies,14,0,14
1067,atlantic,bees,15,1,14
1067,atlantic,hoverflies,23,3,20
1078,atlantic,bees,23,4,19
1078,atlantic,hoverflies,1,0,1
1079,atlantic,bees,22,2,20
1079,atlantic,hoverflies,1,0,1
1080,atlantic,bees,36,5,31
1080,atlantic,hoverflies,2,0,2
1081,atlantic,bees,17,1,16
1111,mediterranean,bees,20,1,19
1111,mediterranean,hoverflies,15,0,15
1112,mediterranean,bees,9,1,8
1112,mediterranean,hoverflies,12,0,12
1113,mediterranean,bees,2,0,2
1114,mediterranean,bees,4,1,3
1114,mediterranean,hoverflies,1,0,1
1115,mediterranean,bees,30,7,23
1115,mediterranean,hoverflies,20,0,20
1116,mediterranean,bees,3,0,3
1116,mediterranean,hoverflies,9,0,9
1117,mediterranean,bees,12,0,12
1117,mediterranean,hoverflies,1,0,1
1118,mediterranean,bees,5,3,2
1118,mediterranean,hoverflies,6,0,6
1119,atlantic,bees,27,8,19
1119,atlantic,hoverflies,20,1,19
1131,atlantic,bees,26,3,23
1131,atlantic,hoverflies,2,0,2
1132,atlantic,bees,41,6,35
1132,atlantic,hoverflies,4,0,4
1133,atlantic,bees,19,3,16
1133,atlantic,hoverflies,2,0,2
1134,atlantic,bees,11,3,8
1163,mediterranean,bees,29,5,24
1163,mediterranean,hoverflies,6,0,6
1164,mediterranean,bees,7,1,6
1165,mediterranean,bees,6,2,4
1167,mediterranean,bees,4,1,3
1167,mediterranean,hoverflies,3,0,3
1168,mediterranean,bees,28,7,21
1168,mediterranean,hoverflies,9,0,9
1169,mediterranean,bees,11,3,8
1169,mediterranean,hoverflies,1,0,1
1170,mediterranean,bees,4,1,3
1170,mediterranean,hoverflies,11,0,11
1171,mediterranean,bees,10,1,9
1171,mediterranean,hoverflies,14,0,14
1172,atlantic,bees,18,1,17
1172,atlantic,hoverflies,21,4,17
1183,atlantic,bees,32,6,26
1183,atlantic,hoverflies,1,0,1
1184,atlantic,bees,25,3,22
1185,atlantic,bees,25,3,22
1185,atlantic,hoverflies,1,0,1
1186,atlantic,bees,20,2,18
1216,mediterranean,bees,26,5,21
1216,mediterranean,hoverflies,13,1,12
1217,mediterranean,bees,10,3,7
1217,mediterranean,hoverflies,1,0,1
1218,mediterranean,bees,4,1,3
1219,mediterranean,bees,4,0,4
1219,mediterranean,hoverflies,6,0,6
1220,mediterranean,bees,11,0,11
1221,mediterranean,bees,9,2,7
1221,mediterranean,hoverflies,10,0,10
1222,mediterranean,bees,32,6,26
1222,mediterranean,hoverflies,2,0,2
1223,mediterranean,bees,4,1,3
1223,mediterranean,hoverflies,2,0,2
1224,atlantic,bees,26,6,20
1224,atlantic,hoverflies,15,0,15
1236,atlantic,bees,28,7,21
1236,atlantic,hoverflies,1,0,1
1237,atlantic,bees,21,3,18
1237,atlantic,hoverflies,2,0,2
1238,atlantic,bees,12,0,12
1239,atlantic,bees,13,4,9
1268,mediterranean,bees,46,7,39
1268,mediterranean,hoverflies,16,2,14
1269,mediterranean,bees,17,3,14
1269,mediterranean,hoverflies,1,0,1
1270,mediterranean,bees,6,3,3
1270,mediterranean,hoverflies,2,0,2
1271,mediterranean,bees,7,2,5
1271,mediterranean,hoverflies,3,0,3
1272,mediterranean,bees,18,6,12
1272,mediterranean,hoverflies,1,0,1
1273,mediterranean,bees,63,28,35
1273,mediterranean,hoverflies,16,3,13
1274,mediterranean,bees,17,2,15
1274,mediterranean,hoverflies,1,0,1
1275,mediterranean,bees,11,4,7
1275,mediterranean,hoverflies,2,0,2
1276,atlantic,bees,25,7,18
1276,atlantic,hoverflies,16,1,15
1288,atlantic,bees,13,3,10
1289,atlantic,bees,22,4,18
1290,atlantic,bees,26,2,24
1290,atlantic,hoverflies,2,0,2
1291,atlantic,bees,22,3,19
1291,atlantic,hoverflies,2,0,2
1292,atlantic,bees,19,1,18
1321,mediterranean,bees,62,18,44
1321,mediterranean,hoverflies,20,1,19
1322,mediterranean,bees,13,3,10
1322,mediterranean,hoverflies,1,0,1
1323,mediterranean,bees,4,2,2
1323,mediterranean,hoverflies,1,0,1
1324,mediterranean,bees,6,3,3
1325,mediterranean,bees,50,22,28
1325,mediterranean,hoverflies,18,0,18
1326,mediterranean,bees,47,20,27
1326,mediterranean,hoverflies,14,0,14
1327,mediterranean,bees,13,3,10
1327,mediterranean,hoverflies,1,0,1
1328,mediterranean,bees,6,0,6
1328,mediterranean,hoverflies,2,0,2
1329,atlantic,bees,20,5,15
1329,atlantic,hoverflies,13,0,13
1338,atlantic,bees,21,4,17
1338,atlantic,hoverflies,12,0,12
1341,atlantic,bees,45,14,31
1342,atlantic,bees,43,15,28
1342,atlantic,hoverflies,3,0,3
1343,atlantic,bees,26,9,17
1343,atlantic,hoverflies,1,0,1
1344,atlantic,bees,29,5,24
1344,atlantic,hoverflies,7,0,7
1345,atlantic,bees,5,0,5
1373,mediterranean,bees,50,14,36
1373,mediterranean,hoverflies,25,0,25
1374,mediterranean,bees,12,1,11
1374,mediterranean,hoverflies,1,0,1
1375,mediterranean,bees,8,6,2
1375,mediterranean,hoverflies,1,1,0
1376,mediterranean,bees,9,7,2
1377,mediterranean,bees,20,7,13
1377,mediterranean,hoverflies,3,0,3
1378,mediterranean,bees,41,13,28
1378,mediterranean,hoverflies,28,0,28
1379,mediterranean,bees,13,3,10
1379,mediterranean,hoverflies,3,0,3
1380,mediterranean,bees,7,2,5
1380,mediterranean,hoverflies,4,0,4
1381,atlantic,bees,19,5,14
1381,atlantic,hoverflies,12,0,12
1393,atlantic,bees,28,7,21
1394,atlantic,bees,42,16,26
1394,atlantic,hoverflies,1,0,1
1395,atlantic,bees,21,4,17
1396,atlantic,bees,31,3,28
1396,atlantic,hoverflies,19,0,19
1397,atlantic,bees,21,4,17
1425,mediterranean,bees,16,1,15
1425,mediterranean,hoverflies,6,0,6
1426,mediterranean,bees,23,3,20
1426,mediterranean,hoverflies,10,0,10
1427,mediterranean,bees,31,6,25
1427,mediterranean,hoverflies,15,0,15
1428,mediterranean,bees,6,1,5
1428,mediterranean,hoverflies,1,0,1
1429,mediterranean,bees,6,1,5
1430,mediterranean,bees,51,23,28
1430,mediterranean,hoverflies,9,0,9
1431,mediterranean,bees,25,4,21
1431,mediterranean,hoverflies,11,0,11
1432,mediterranean,bees,13,3,10
1432,mediterranean,hoverflies,5,0,5
1433,mediterranean,bees,8,3,5
1433,mediterranean,hoverflies,1,0,1
1434,atlantic,bees,25,10,15
1434,atlantic,hoverflies,10,1,9
1440,atlantic,hoverflies,7,1,6
1443,atlantic,bees,48,12,36
1443,atlantic,hoverflies,16,0,16
1446,atlantic,bees,48,16,32
1446,atlantic,hoverflies,1,0,1
1447,atlantic,bees,56,29,27
1447,atlantic,hoverflies,2,1,1
1448,atlantic,bees,19,6,13
1449,atlantic,bees,16,1,15
1449,atlantic,hoverflies,11,0,11
1450,atlantic,bees,8,0,8
1478,mediterranean,bees,44,10,34
1478,mediterranean,hoverflies,14,1,13
1479,mediterranean,bees,9,2,7
1479,mediterranean,hoverflies,1,0,1
1480,mediterranean,bees,8,0,8
1480,mediterranean,hoverflies,2,0,2
1481,mediterranean,bees,2,1,1
1481,mediterranean,hoverflies,2,0,2
1482,mediterranean,bees,6,3,3
1482,mediterranean,hoverflies,2,1,1
1483,mediterranean,bees,6,1,5
1483,mediterranean,hoverflies,4,0,4
1484,mediterranean,bees,12,0,12
1485,mediterranean,bees,29,13,16
1485,mediterranean,hoverflies,19,1,18
1486,atlantic,bees,12,1,11
1486,atlantic,hoverflies,4,0,4
1493,atlantic,bees,4,2,2
1493,atlantic,hoverflies,12,0,12
1495,atlantic,bees,36,6,30
1495,atlantic,hoverflies,28,0,28
1498,atlantic,bees,15,3,12
1499,atlantic,bees,61,25,36
1499,atlantic,hoverflies,1,0,1
1500,atlantic,bees,45,12,33
1500,atlantic,hoverflies,1,0,1
1501,atlantic,bees,20,1,19
1501,atlantic,hoverflies,15,0,15
1502,atlantic,bees,22,1,21
1502,atlantic,hoverflies,8,0,8
1504,atlantic,hoverflies,7,0,7
1530,mediterranean,bees,10,0,10
1531,mediterranean,bees,19,4,15
1531,mediterranean,hoverflies,2,0,2
1532,mediterranean,bees,11,4,7
1532,mediterranean,hoverflies,1,0,1
1533,mediterranean,bees,10,2,8
1533,mediterranean,hoverflies,2,2,0
1534,mediterranean,bees,5,0,5
1535,mediterranean,bees,6,0,6
1535,mediterranean,hoverflies,6,0,6
1536,mediterranean,bees,6,0,6
1536,mediterranean,hoverflies,3,0,3
1537,mediterranean,bees,18,3,15
1537,mediterranean,hoverflies,5,0,5
1538,mediterranean,bees,6,3,3
1538,mediterranean,hoverflies,8,0,8
1539,atlantic,bees,10,2,8
1539,atlantic,hoverflies,5,1,4
1545,atlantic,bees,22,8,14
1545,atlantic,hoverflies,21,1,20
1546,atlantic,bees,2,1,1
1546,atlantic,hoverflies,9,0,9
1548,atlantic,bees,49,10,39
1548,atlantic,hoverflies,35,3,32
1550,atlantic,bees,25,3,22
1550,atlantic,hoverflies,32,3,29
1552,atlantic,bees,77,31,46
1552,atlantic,hoverflies,4,0,4
1553,atlantic,bees,48,19,29
1553,atlantic,hoverflies,10,0,10
1554,atlantic,bees,21,2,19
1554,atlantic,hoverflies,24,0,24
1556,atlantic,bees,5,0,5
1556,atlantic,hoverflies,1,0,1
1557,atlantic,bees,16,0,16
1557,atlantic,hoverflies,24,0,24
1583,mediterranean,bees,22,1,21
1583,mediterranean,hoverflies,4,0,4
1584,mediterranean,bees,20,3,17
1584,mediterranean,hoverflies,2,0,2
1585,mediterranean,bees,12,1,11
1585,mediterranean,hoverflies,1,0,1
1586,mediterranean,bees,3,1,2
1586,mediterranean,hoverflies,1,0,1
1587,mediterranean,bees,11,0,11
1588,mediterranean,bees,6,2,4
1588,mediterranean,hoverflies,1,0,1
1589,mediterranean,bees,13,6,7
1589,mediterranean,hoverflies,1,0,1
1590,mediterranean,bees,11,1,10
1590,mediterranean,hoverflies,1,0,1
1591,atlantic,bees,8,4,4
1591,atlantic,hoverflies,11,1,10
1597,atlantic,bees,6,3,3
1597,atlantic,hoverflies,13,2,11
1598,atlantic,bees,8,3,5
1598,atlantic,hoverflies,29,2,27
1601,atlantic,bees,51,11,40
1601,atlantic,hoverflies,28,2,26
1602,atlantic,bees,27,1,26
1602,atlantic,hoverflies,29,1,28
1605,atlantic,bees,24,5,19
1606,atlantic,bees,51,14,37
1606,atlantic,hoverflies,27,1,26
1607,atlantic,bees,30,5,25
1607,atlantic,hoverflies,17,0,17
1608,atlantic,bees,2,0,2
1608,atlantic,hoverflies,6,0,6
1609,atlantic,bees,13,0,13
1609,atlantic,hoverflies,6,0,6
1610,atlantic,bees,26,2,24
1610,atlantic,hoverflies,28,1,27
1636,mediterranean,bees,23,4,19
1636,mediterranean,hoverflies,1,0,1
1637,mediterranean,bees,13,3,10
1637,mediterranean,hoverflies,1,0,1
1638,mediterranean,bees,5,1,4
1638,mediterranean,hoverflies,4,0,4
1639,mediterranean,bees,9,4,5
1639,mediterranean,hoverflies,1,0,1
1640,mediterranean,bees,8,0,8
1641,mediterranean,bees,15,6,9
1641,mediterranean,hoverflies,1,0,1
1642,mediterranean,bees,18,5,13
1642,mediterranean,hoverflies,2,0,2
1643,atlantic,bees,14,7,7
1643,atlantic,hoverflies,11,0,11
1644,atlantic,bees,1,0,1
1644,atlantic,hoverflies,5,0,5
1650,atlantic,bees,1,0,1
1650,atlantic,hoverflies,19,0,19
1651,atlantic,bees,12,8,4
1651,atlantic,hoverflies,12,1,11
1653,atlantic,bees,82,37,45
1653,atlantic,hoverflies,30,0,30
1654,atlantic,bees,34,9,25
1654,atlantic,hoverflies,17,0,17
1655,atlantic,bees,35,3,32
1655,atlantic,hoverflies,40,2,38
1656,atlantic,bees,4,0,4
1656,atlantic,hoverflies,3,0,3
1658,atlantic,bees,48,18,30
1658,atlantic,hoverflies,23,1,22
1659,atlantic,bees,23,4,19
1659,atlantic,hoverflies,18,0,18
1660,atlantic,bees,11,2,9
1660,atlantic,hoverflies,9,0,9
1661,atlantic,bees,15,1,14
1661,atlantic,hoverflies,16,1,15
1662,atlantic,bees,3,0,3
1662,atlantic,hoverflies,2,0,2
1663,atlantic,bees,16,0,16
1663,atlantic,hoverflies,13,0,13
1689,mediterranean,bees,36,11,25
1689,mediterranean,hoverflies,3,0,3
1690,mediterranean,bees,3,0,3
1690,mediterranean,hoverflies,1,0,1
1691,mediterranean,bees,3,1,2
1692,mediterranean,bees,22,4,18
1692,mediterranean,hoverflies,3,0,3
1693,mediterranean,bees,8,0,8
1693,mediterranean,hoverflies,4,0,4
1694,mediterranean,bees,12,3,9
1695,mediterranean,bees,8,1,7
1695,mediterranean,hoverflies,5,0,5
1696,atlantic,bees,13,7,6
1696,atlantic,hoverflies,6,0,6
1702,atlantic,bees,9,4,5
1702,atlantic,hoverflies,23,0,23
1703,atlantic,bees,11,4,7
1703,atlantic,hoverflies,31,1,30
1705,atlantic,bees,18,4,14
1705,atlantic,hoverflies,13,1,12
1706,atlantic,bees,62,21,41
1706,atlantic,hoverflies,30,3,27
1707,atlantic,bees,45,5,40
1707,atlantic,hoverflies,51,7,44
1708,atlantic,bees,29,0,29
1708,atlantic,hoverflies,40,1,39
1709,atlantic,bees,17,3,14
1709,atlantic,hoverflies,22,0,22
1711,atlantic,bees,27,5,22
1711,atlantic,hoverflies,21,1,20
1712,atlantic,bees,2,0,2
1712,atlantic,hoverflies,4,0,4
1713,atlantic,bees,11,1,10
1713,atlantic,hoverflies,25,1,24
1714,atlantic,bees,18,0,18
1714,atlantic,hoverflies,18,1,17
1715,atlantic,bees,14,2,12
1715,atlantic,hoverflies,17,0,17
1716,atlantic,bees,9,0,9
1716,atlantic,hoverflies,9,0,9
1741,mediterranean,bees,7,1,6
1742,mediterranean,bees,14,5,9
1742,mediterranean,hoverflies,1,0,1
1743,mediterranean,bees,4,1,3
1743,mediterranean,hoverflies,9,0,9
1744,mediterranean,bees,6,1,5
1744,mediterranean,hoverflies,2,0,2
1745,mediterranean,bees,39,15,24
1745,mediterranean,hoverflies,12,1,11
1746,mediterranean,bees,8,1,7
1747,mediterranean,bees,12,3,9
1747,mediterranean,hoverflies,6,0,6
1748,atlantic,bees,15,4,11
1748,atlantic,hoverflies,32,1,31
1754,atlantic,bees,11,0,11
1754,atlantic,hoverflies,16,1,15
1755,atlantic,bees,3,1,2
1755,atlantic,hoverflies,24,0,24
1756,atlantic,bees,24,3,21
1756,atlantic,hoverflies,36,0,36
1758,atlantic,bees,92,45,47
1758,atlantic,hoverflies,36,1,35
1759,atlantic,bees,65,26,39
1759,atlantic,hoverflies,32,2,30
1760,atlantic,bees,22,0,22
1760,atlantic,hoverflies,36,1,35
1761,atlantic,bees,45,5,40
1761,atlantic,hoverflies,51,7,44
1762,atlantic,bees,24,1,23
1762,atlantic,hoverflies,36,0,36
1763,atlantic,bees,30,20,10
1763,atlantic,hoverflies,5,0,5
1764,atlantic,bees,16,0,16
1764,atlantic,hoverflies,14,0,14
1765,atlantic,bees,12,2,10
1765,atlantic,hoverflies,13,0,13
1766,atlantic,bees,18,0,18
1766,atlantic,hoverflies,32,0,32
1767,atlantic,bees,23,1,22
1767,atlantic,hoverflies,28,0,28
1768,atlantic,bees,5,0,5
1768,atlantic,hoverflies,9,0,9
1794,mediterranean,bees,34,10,24
1794,mediterranean,hoverflies,16,1,15
1795,mediterranean,bees,6,0,6
1795,mediterranean,hoverflies,13,0,13
1796,mediterranean,bees,10,3,7
1796,mediterranean,hoverflies,11,0,11
1797,mediterranean,bees,31,5,26
1797,mediterranean,hoverflies,2,0,2
1798,mediterranean,bees,8,2,6
1798,mediterranean,hoverflies,1,0,1
1799,mediterranean,bees,12,4,8
1799,mediterranean,hoverflies,1,0,1
1800,mediterranean,bees,12,2,10
1800,mediterranean,hoverflies,17,1,16
1801,atlantic,bees,17,7,10
1801,atlantic,hoverflies,27,0,27
1806,atlantic,bees,3,1,2
1807,atlantic,bees,5,1,4
1807,atlantic,hoverflies,25,0,25
1808,atlantic,bees,16,2,14
1808,atlantic,hoverflies,23,1,22
1811,atlantic,bees,64,22,42
1811,atlantic,hoverflies,27,1,26
1812,atlantic,bees,53,8,45
1812,atlantic,hoverflies,44,1,43
1813,atlantic,bees,43,5,38
1813,atlantic,hoverflies,47,4,43
1814,atlantic,bees,66,18,48
1814,atlantic,hoverflies,69,19,50
1816,atlantic,bees,4,2,2
1816,atlantic,hoverflies,6,0,6
1817,atlantic,bees,16,0,16
1817,atlantic,hoverflies,22,0,22
1818,atlantic,bees,10,1,9
1818,atlantic,hoverflies,16,0,16
1819,atlantic,bees,21,2,19
1819,atlantic,hoverflies,23,1,22
1820,atlantic,bees,19,2,17
1820,atlantic,hoverflies,19,0,19
1821,atlantic,bees,4,0,4
1821,atlantic,hoverflies,6,0,6
1846,mediterranean,bees,5,1,4
1846,mediterranean,hoverflies,1,1,0
1847,mediterranean,bees,39,9,30
1847,mediterranean,hoverflies,24,0,24
1848,mediterranean,bees,13,3,10
1848,mediterranean,hoverflies,13,0,13
1849,mediterranean,bees,8,4,4
1849,mediterranean,hoverflies,12,0,12
1850,mediterranean,bees,18,4,14
1851,mediterranean,bees,7,2,5
1852,mediterranean,bees,4,2,2
1853,mediterranean,bees,29,6,23
1853,mediterranean,hoverflies,28,0,28
1854,atlantic,bees,20,6,14
1854,atlantic,hoverflies,8,0,8
1858,atlantic,bees,6,2,4
1858,atlantic,hoverflies,12,0,12
1859,atlantic,bees,22,2,20
1859,atlantic,hoverflies,23,2,21
1860,atlantic,bees,6,2,4
1860,atlantic,hoverflies,9,1,8
1863,atlantic,bees,36,11,25
1863,atlantic,hoverflies,7,0,7
1864,atlantic,bees,60,21,39
1864,atlantic,hoverflies,47,8,39
1865,atlantic,bees,29,2,27
1865,atlantic,hoverflies,41,1,40
1866,atlantic,bees,41,6,35
1866,atlantic,hoverflies,54,6,48
1867,atlantic,bees,26,0,26
1867,atlantic,hoverflies,24,1,23
1868,atlantic,bees,10,7,3
