"","family","scientificName","Group","1921-1940","1941-1960","1961-1980","1981-2000","2001-2020","trend_mediterranean","sde_mediterranean","trend_alpine","sde_alpine","trend_atlantic","sde_atlantic","trend_continental","sde_continental","trend_boreal","sde_boreal"
"19","Andrenidae","Andrena alma","bees",0,0,0,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Andrenidae","Andrena alutacea","bees",21,4,14,48,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Andrenidae","Andrena amieti","bees",35,15,28,130,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Andrenidae","Andrena ampla","bees",32,13,40,74,297,-0.0298104387818783,0.0265710201981609,0.0188540492438742,0.0107429086444875,-0.0584082678579367,0.0231776956435551,NA,NA,NA,NA
"23","Andrenidae","Andrena anatolica","bees",0,0,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Andrenidae","Andrena angustior","bees",229,263,928,1269,1024,0.0346862403952126,0.0282249422681971,0.0135422297898708,0.0243974921129722,-0.0546416721871308,0.00372519934527811,-0.0666692977413566,0.00897123247783092,NA,NA
"25","Andrenidae","Andrena anthrisci","bees",10,4,23,82,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Andrenidae","Andrena antigana","bees",0,3,33,55,47,-0.0346348845859848,0.0187951043614997,NA,NA,NA,NA,NA,NA,NA,NA
"27","Andrenidae","Andrena antonellae","bees",0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Andrenidae","Andrena apicata","bees",198,220,161,425,897,NA,NA,0.0205562068845418,0.0100652955622707,-0.0331956388193807,0.00419227620515619,-0.00321345722217601,0.00585082043059252,-0.0144733458102651,0.0130101667261083
"29","Andrenidae","Andrena argentata","bees",557,439,412,773,2192,NA,NA,-0.0288196750219357,0.00718679097626454,-0.036402935938454,0.00672213040965042,-0.0554999607466378,0.0112420114596085,-0.0263599609912369,0.00353289252502143
"30","Andrenidae","Andrena asiatica","bees",0,0,4,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Andrenidae","Andrena asperrima","bees",2,2,35,30,49,-0.0631724471301191,0.0257320308431143,NA,NA,NA,NA,NA,NA,NA,NA
"32","Andrenidae","Andrena asperula","bees",0,0,10,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Andrenidae","Andrena assimilis","bees",18,23,30,30,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Andrenidae","Andrena astica","bees",0,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Andrenidae","Andrena athenensis","bees",0,0,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Andrenidae","Andrena atrata","bees",1,1,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Andrenidae","Andrena atrotegularis","bees",0,0,6,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Andrenidae","Andrena avara","bees",0,0,1,9,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Andrenidae","Andrena baetica","bees",0,0,0,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Andrenidae","Andrena barbareae","bees",60,22,38,103,284,NA,NA,-0.0182815711756934,0.00734011959479012,NA,NA,NA,NA,NA,NA
"41","Andrenidae","Andrena barbilabris","bees",601,728,1424,3440,8262,0.0303355068968664,0.0266022804262425,0.0089425657558707,0.00399263527963185,-0.00625574005415461,0.00263185713724277,-0.00633571272913207,0.00353865120835263,-0.0303944192422295,0.00779032197198374
"42","Andrenidae","Andrena batava","bees",7,19,4,13,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Andrenidae","Andrena bayona","bees",0,3,1,0,11,0.368505065374021,0.135540070509879,NA,NA,NA,NA,NA,NA,NA,NA
"44","Andrenidae","Andrena bellidis","bees",0,3,3,8,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Andrenidae","Andrena benoisti","bees",0,0,2,14,8,0.214631735868943,0.304648585806091,NA,NA,NA,NA,NA,NA,NA,NA
"46","Andrenidae","Andrena biarmica","bees",0,0,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Andrenidae","Andrena bicolor","bees",727,844,3006,8784,15029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Andrenidae","Andrena bicolorata","bees",15,2,8,23,71,-0.0562118694644023,0.0263407580377006,NA,NA,NA,NA,NA,NA,NA,NA
"49","Andrenidae","Andrena biguttata","bees",0,0,18,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Andrenidae","Andrena bimaculata","bees",227,147,271,964,1411,-0.0373197376694773,0.0127774584223254,-0.000836433794091955,0.00813632697267037,-0.0293641282985805,0.00488449277648845,-0.0329497185297869,0.00701176709083037,-0.0444144932191816,0.0111344527578336
"51","Andrenidae","Andrena binominata","bees",0,1,3,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Andrenidae","Andrena bisulcata","bees",1,2,8,3,10,-0.251970172644861,0.108969488250724,NA,NA,NA,NA,NA,NA,NA,NA
"53","Andrenidae","Andrena blanda","bees",0,0,0,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Andrenidae","Andrena braunsiana","bees",1,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Andrenidae","Andrena brumanensis","bees",2,0,11,28,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Andrenidae","Andrena bucephala","bees",31,45,171,720,574,NA,NA,-0.0209295395081224,0.023874094360568,-0.0222116513815079,0.0177445279032916,0.0137241493824128,0.0161691793692785,NA,NA
"57","Andrenidae","Andrena caneae","bees",2,3,6,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Andrenidae","Andrena canohirta","bees",0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Andrenidae","Andrena cantiaca","bees",0,0,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Andrenidae","Andrena capillosa","bees",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Andrenidae","Andrena cervina","bees",0,0,0,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Andrenidae","Andrena chaetogastra","bees",2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Andrenidae","Andrena chersona","bees",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Andrenidae","Andrena chrysopus","bees",0,7,0,8,23,NA,NA,0.450686879158883,0.323714898476595,NA,NA,0.0900240631016333,0.0575236319932621,NA,NA
"65","Andrenidae","Andrena chrysopyga","bees",3,47,10,11,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Andrenidae","Andrena chrysosceles","bees",229,311,1266,4863,6636,NA,NA,0.0199428210021589,0.00897849050015882,0.0380020056143357,0.00738688959999218,-0.00271067274732759,0.00449361201343419,0.0213993456013934,0.0246214429666195
"67","Andrenidae","Andrena cilissaeformis","bees",0,0,0,9,29,-0.00040244365375382,0.0317081233417016,NA,NA,NA,NA,NA,NA,NA,NA
"68","Andrenidae","Andrena cineraria","bees",665,655,874,2633,13419,-0.000817013947154141,0.0239323346044192,0.0133229021729166,0.00452864436183236,0.0341488137171198,0.00228819508226967,0.0525048861659641,0.00433651673286091,0.0218594391081548,0.00362375959232913
"69","Andrenidae","Andrena cinerea","bees",5,11,56,173,368,-0.000769254712476678,0.00629340071748784,0.0253819570296134,0.0234889981297921,NA,NA,NA,NA,NA,NA
"70","Andrenidae","Andrena cinereophila","bees",0,0,1,5,113,0.0122431324059436,0.00712352708936176,NA,NA,NA,NA,NA,NA,NA,NA
"71","Andrenidae","Andrena clarkella","bees",576,507,1251,2926,9475,NA,NA,0.00906592735038584,0.00487595663244159,-0.0229245812886833,0.0062192365022915,0.0132281121159258,0.00371993273426281,0.0126550176036497,0.00505708517730245
"72","Andrenidae","Andrena clypella","bees",0,0,25,19,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Andrenidae","Andrena coitana","bees",553,604,769,809,818,NA,NA,-0.00958552503241202,0.00616377117547991,-0.0342479036673138,0.00332805643199392,-0.0387399859230075,0.00572417339890761,-0.0427700622530693,0.00463366767042497
"74","Andrenidae","Andrena colletiformis","bees",13,10,104,35,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Andrenidae","Andrena combaella","bees",1,0,10,1,39,-0.0221070164289617,0.0576957549605828,-0.251387176077103,0.241718866414777,NA,NA,NA,NA,NA,NA
"76","Andrenidae","Andrena combinata","bees",151,83,142,262,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Andrenidae","Andrena compta","bees",1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Andrenidae","Andrena comta","bees",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Andrenidae","Andrena concinna","bees",0,0,0,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Andrenidae","Andrena confinis","bees",39,4,0,5,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Andrenidae","Andrena congruens","bees",53,32,86,68,463,0.0905927386043056,0.0452843206906221,-0.0277124866882427,0.0217225798541524,-0.0107994388879001,0.0315814151337803,-0.0357436939586978,0.0125957362688706,-0.0208031996541761,0.0226958165987436
"82","Andrenidae","Andrena contracta","bees",0,0,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Andrenidae","Andrena corax","bees",0,0,7,41,27,-0.063526903561662,0.0549193312016984,NA,NA,NA,NA,NA,NA,NA,NA
"84","Andrenidae","Andrena cordialis","bees",0,0,6,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Andrenidae","Andrena corssubalpina","bees",0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Andrenidae","Andrena crassana","bees",0,0,6,3,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Andrenidae","Andrena crecca","bees",0,0,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Andrenidae","Andrena crepidis","bees",1,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Andrenidae","Andrena croatica","bees",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Andrenidae","Andrena croceiventris","bees",2,0,5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Andrenidae","Andrena curiosa","bees",0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Andrenidae","Andrena curtivalvis","bees",0,0,10,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Andrenidae","Andrena curvana","bees",0,1,11,17,20,NA,NA,-0.0417012597778417,0.0294343793399317,NA,NA,0.558883581732155,0.28082419612061,NA,NA
"94","Andrenidae","Andrena curvungula","bees",100,153,64,178,563,-0.00672305324928782,0.0251341142817025,0.0600436049561409,0.0131734981634393,-0.101568066153655,0.0399256900500698,-0.00270287713907012,0.0051130792075452,-0.0317768598101672,0.0233378833834677
"95","Andrenidae","Andrena cussariensis","bees",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Andrenidae","Andrena cyanomicans","bees",0,0,15,13,24,0.0344024099646184,0.0267288399838381,NA,NA,NA,NA,NA,NA,NA,NA
"97","Andrenidae","Andrena cypria","bees",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Andrenidae","Andrena danuvia","bees",0,0,0,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Andrenidae","Andrena dargia","bees",0,0,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Andrenidae","Andrena decipiens","bees",50,20,35,105,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Andrenidae","Andrena delphiensis","bees",0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Andrenidae","Andrena denticulata","bees",327,438,728,1497,5015,NA,NA,-0.00255515169405707,0.00898935586400719,0.00661740337826516,0.00328383833609206,-0.00554835268977326,0.00445015777210936,0.0115506201556653,0.00314993757070647
"103","Andrenidae","Andrena dinizi","bees",0,0,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Andrenidae","Andrena discors","bees",0,0,16,6,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Andrenidae","Andrena distinguenda","bees",37,47,53,65,35,-0.022927190999245,0.00777596001387349,NA,NA,NA,NA,-0.0345041602944606,0.00926145877759831,NA,NA
"106","Andrenidae","Andrena djelfensis","bees",0,0,7,25,60,0.278614366722667,0.20471777137694,NA,NA,NA,NA,NA,NA,NA,NA
"107","Andrenidae","Andrena dorsalis","bees",0,0,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Andrenidae","Andrena dorsata","bees",234,443,769,5156,9629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Andrenidae","Andrena doursana","bees",0,0,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Andrenidae","Andrena ebmerella","bees",0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Andrenidae","Andrena elata","bees",0,0,0,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Andrenidae","Andrena elegans","bees",0,0,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Andrenidae","Andrena elmaria","bees",0,1,2,3,7,-0.0190350756349577,0.00771780297541876,NA,NA,NA,NA,NA,NA,NA,NA
"114","Andrenidae","Andrena enslinella","bees",0,1,0,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Andrenidae","Andrena erberi","bees",0,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Andrenidae","Andrena erodiorum","bees",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Andrenidae","Andrena eversmanniana","bees",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Andrenidae","Andrena exigua","bees",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Andrenidae","Andrena exquisita","bees",0,0,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Andrenidae","Andrena fabrella","bees",2,6,54,154,212,-0.00775652169143367,0.00719595845652188,NA,NA,NA,NA,NA,NA,NA,NA
"121","Andrenidae","Andrena falcinella","bees",0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Andrenidae","Andrena fallax","bees",0,0,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Andrenidae","Andrena falsifica","bees",204,256,491,432,1510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Andrenidae","Andrena farinosa","bees",0,0,1,21,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Andrenidae","Andrena ferox","bees",27,29,34,108,228,NA,NA,0.0344847028589018,0.0447643052072239,-0.0101662520864645,0.00926792784963954,-0.0312085036035512,0.0127826892784237,NA,NA
"126","Andrenidae","Andrena ferrugineicrus","bees",4,4,55,107,86,-0.0100819620569247,0.0113064821221315,NA,NA,NA,NA,NA,NA,NA,NA
"127","Andrenidae","Andrena fertoni","bees",0,0,0,9,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Andrenidae","Andrena figurata","bees",1,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Andrenidae","Andrena fimbriata","bees",0,0,0,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Andrenidae","Andrena flavilabris","bees",10,0,0,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Andrenidae","Andrena flavipes","bees",679,1027,2887,11390,26358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Andrenidae","Andrena flavobila","bees",0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Andrenidae","Andrena florea","bees",202,328,405,994,2674,-0.0464031359359764,0.00828531546099654,0.0247338489289918,0.0108006207949303,0.0444323987328166,0.00514809955736511,0.0278502742984835,0.00202042837380692,NA,NA
"134","Andrenidae","Andrena florentina","bees",34,3,15,6,47,-0.0495664388068178,0.021979684185801,NA,NA,NA,NA,-0.148057312623003,0.0885157966434202,NA,NA
"135","Andrenidae","Andrena floricola","bees",18,14,35,44,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Andrenidae","Andrena florivaga","bees",1,0,1,3,48,NA,NA,NA,NA,NA,NA,0.0171839861233918,0.0258605661796617,NA,NA
"137","Andrenidae","Andrena foeniculae","bees",0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Andrenidae","Andrena forsterella","bees",7,0,6,3,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Andrenidae","Andrena fortipunctata","bees",0,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Andrenidae","Andrena freygessneri","bees",10,0,11,30,24,NA,NA,0.00504430392773169,0.00930070703730294,NA,NA,NA,NA,NA,NA
"141","Andrenidae","Andrena fria","bees",0,0,0,10,18,-0.0172235509624777,0.0388002408699012,NA,NA,NA,NA,NA,NA,NA,NA
"142","Andrenidae","Andrena fucata","bees",550,620,1351,2788,4904,NA,NA,0.0026383337647058,0.00467141844343379,-0.0240883762762306,0.00414813398620952,-0.0324953894629663,0.00507442877156903,-0.178185060417637,0.0178936130488377
"143","Andrenidae","Andrena fulica","bees",0,0,25,46,70,-0.0130668200265261,0.0254506338285115,NA,NA,NA,NA,NA,NA,NA,NA
"144","Andrenidae","Andrena fuligula","bees",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Andrenidae","Andrena fulva","bees",361,589,3502,5768,11701,-0.0117830030147137,0.0111264474754379,0.0567211959594203,0.025723734510444,0.0259422118545362,0.00372299349956446,-0.00132649992063727,0.00350041710275069,0.578779654513609,0.0582284996050306
"146","Andrenidae","Andrena fulvago","bees",216,282,295,641,3011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Andrenidae","Andrena fulvata","bees",69,44,75,773,1245,NA,NA,0.0798492454843081,0.023092020411252,0.33039947030146,0.114196524778696,-0.00415960271216607,0.00604903554399119,NA,NA
"148","Andrenidae","Andrena fulvicornis","bees",2,88,202,47,119,0.00509878006377331,0.0123377786766638,-0.10474116703037,0.0505635701698481,NA,NA,0.0155688507241261,0.0188217168176749,NA,NA
"149","Andrenidae","Andrena fulvida","bees",85,134,81,176,799,NA,NA,0.0173876826863704,0.0145238434091153,-0.0239945911265722,0.00541654905376659,-0.0242247685392457,0.00680978012094277,0.0154866936734884,0.00639620446911088
"150","Andrenidae","Andrena fulvitarsis","bees",0,0,5,7,102,-0.0298797030679406,0.0284865141361119,NA,NA,NA,NA,NA,NA,NA,NA
"151","Andrenidae","Andrena fumida","bees",9,0,3,0,4,-0.0348602969329641,0.0487346564163093,NA,NA,NA,NA,NA,NA,NA,NA
"152","Andrenidae","Andrena funerea","bees",0,3,8,108,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Andrenidae","Andrena fuscipes","bees",407,613,1013,2104,5324,0.00247707942433278,0.0143621823096727,-0.00623651033900873,0.00958219856490228,0.0113874032765114,0.00321139380568828,-0.00090378141379443,0.00472767441580223,-0.0116243190787387,0.00552172451728744
"154","Andrenidae","Andrena fuscocalcarata","bees",0,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Andrenidae","Andrena fuscosa","bees",76,11,17,36,90,-0.018942190021539,0.0343106584287873,-0.118147471752979,0.0384888262755166,NA,NA,NA,NA,NA,NA
"156","Andrenidae","Andrena gamskrucki","bees",0,0,1,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Andrenidae","Andrena garrula","bees",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Andrenidae","Andrena gelriae","bees",107,206,139,57,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Andrenidae","Andrena ghisbaini","bees",0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Andrenidae","Andrena glidia","bees",0,0,0,0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Andrenidae","Andrena graciliata","bees",0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Andrenidae","Andrena graecella","bees",0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Andrenidae","Andrena granulosa","bees",1,2,48,56,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Andrenidae","Andrena gravida","bees",270,322,513,652,3214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Andrenidae","Andrena gredana","bees",0,0,2,34,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Andrenidae","Andrena griseobalteata","bees",1,2,16,10,23,0.00288552861809133,0.0122116226526042,NA,NA,NA,NA,0.000945516309575519,0.0473041550481854,NA,NA
"167","Andrenidae","Andrena grossella","bees",0,0,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Andrenidae","Andrena haemorrhoa","bees",1144,1697,5622,11600,33543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Andrenidae","Andrena hattorfiana","bees",689,983,871,1196,14423,0.0193894866351057,0.0158819320785657,0.031438253026742,0.00798086759575704,0.00133944704751575,0.00386171611056458,0.0115508169980861,0.00275796952121463,0.00963503106012837,0.00287701514764564
"170","Andrenidae","Andrena hedikae","bees",1,5,24,15,33,-0.00384818192628324,0.0139335688776506,NA,NA,NA,NA,NA,NA,NA,NA
"171","Andrenidae","Andrena heinrichi","bees",0,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Andrenidae","Andrena helvola","bees",169,307,1205,3074,6546,NA,NA,0.0160726724112916,0.0106453499520987,-0.0473176330598967,0.00884295114945269,-0.0732565699026764,0.00980015456544053,0.0248423146624226,0.00700004389759905
"173","Andrenidae","Andrena henotica","bees",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Andrenidae","Andrena hesperia","bees",3,10,120,132,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Andrenidae","Andrena heterodoxa","bees",0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Andrenidae","Andrena humabilis","bees",0,0,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Andrenidae","Andrena humilis","bees",406,423,1025,1880,4692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Andrenidae","Andrena hyacinthina","bees",0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Andrenidae","Andrena hybrida","bees",0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Andrenidae","Andrena hyemala","bees",0,0,4,2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Andrenidae","Andrena hypopolia","bees",13,15,81,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Andrenidae","Andrena hystrix","bees",3,5,2,20,34,-0.112627380444733,0.130054225684811,NA,NA,NA,NA,NA,NA,NA,NA
"183","Andrenidae","Andrena icterina","bees",0,0,0,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Andrenidae","Andrena illyrica","bees",0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Andrenidae","Andrena impunctata","bees",12,6,20,23,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Andrenidae","Andrena incisa","bees",3,0,0,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Andrenidae","Andrena inconstans","bees",2,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Andrenidae","Andrena intermedia","bees",202,552,223,450,1946,-0.0251666276227969,0.0483276700674288,0.0162711008137573,0.00696921088525089,-0.0315944245435306,0.00846833983180821,-0.0246020463303078,0.0066770994865859,-0.0254766134292082,0.00693669405045825
