"","sample","Assemblage","m","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","region_year","region_100","endYear"
"29","Ralpine_Y2008","data",200,"Rarefaction",0,109.990590914532,106.137116445021,113.844065384043,0.656661522172453,0.63853661749795,0.674786426846956,"Ralpine_Y2008","alpine",2008
"30","Ralpine_Y2009","data",200,"Rarefaction",0,108.00594227121,104.067749425668,111.944135116751,0.682978370542508,0.661736255572495,0.704220485512521,"Ralpine_Y2009","alpine",2009
"31","Ralpine_Y2010","data",200,"Rarefaction",0,110.291761912447,106.542178842024,114.04134498287,0.659111099399819,0.641476499456213,0.676745699343425,"Ralpine_Y2010","alpine",2010
"32","Ralpine_Y2011","data",200,"Rarefaction",0,105.236227991329,101.063777871163,109.408678111495,0.674959205497354,0.655272707928858,0.69464570306585,"Ralpine_Y2011","alpine",2011
"33","Ralpine_Y2012","data",200,"Rarefaction",0,102.425750576531,95.252727243216,109.598773909846,0.682077181810438,0.641556462084464,0.722597901536412,"Ralpine_Y2012","alpine",2012
"34","Ralpine_Y2013","data",200,"Rarefaction",0,114.525771088683,111.075818348993,117.975723828372,0.633194998747163,0.61656406303942,0.649825934454905,"Ralpine_Y2013","alpine",2013
"35","Ralpine_Y2014","data",200,"Rarefaction",0,102.801153675538,99.0035002355306,106.598807115545,0.706506903940642,0.687141307664281,0.725872500217004,"Ralpine_Y2014","alpine",2014
"36","Ralpine_Y2015","data",200,"Rarefaction",0,82.9244031526962,77.8788688540593,87.9699374513331,0.772388062629981,0.751485866626699,0.793290258633263,"Ralpine_Y2015","alpine",2015
"37","Ralpine_Y2016","data",200,"Rarefaction",0,97.5798043361693,91.7670602393564,103.392548432982,0.686819492227295,0.655278545999926,0.718360438454664,"Ralpine_Y2016","alpine",2016
"38","Ralpine_Y2017","data",200,"Rarefaction",0,107.182091516166,103.715210190727,110.648972841605,0.659151673985455,0.641359348671567,0.676943999299344,"Ralpine_Y2017","alpine",2017
"39","Ralpine_Y2018","data",200,"Rarefaction",0,77.7505317826779,74.8018091436305,80.6992544217253,0.73536531939182,0.722356700574082,0.748373938209559,"Ralpine_Y2018","alpine",2018
"40","Ralpine_Y2019","data",200,"Rarefaction",0,90.2814152812898,87.0932866009944,93.4695439615853,0.69798932305759,0.684329417514885,0.711649228600294,"Ralpine_Y2019","alpine",2019
"41","Ralpine_Y2020","data",200,"Rarefaction",0,59.4168183496604,56.9494515932625,61.8841851060583,0.798986527863302,0.787680327187286,0.810292728539319,"Ralpine_Y2020","alpine",2020
"42","Ratlantic_Y1921","data",200,"Rarefaction",0,41.8372871948277,36.0245473266115,47.6500270630439,0.899235501610108,0.870351194160601,0.928119809059616,"Ratlantic_Y1921","atlantic",1921
"43","Ratlantic_Y1936","data",200,"Rarefaction",0,64.3981333645854,57.3304555084004,71.4658112207705,0.84123472393863,0.808522019598182,0.873947428279079,"Ratlantic_Y1936","atlantic",1936
"44","Ratlantic_Y1938","data",200,"Rarefaction",0,21.5796391430665,18.1443095864495,25.0149686996835,0.914180991972427,0.900197882393862,0.928164101550993,"Ratlantic_Y1938","atlantic",1938
"45","Ratlantic_Y1944","data",200,"Rarefaction",0,56.005319967903,46.8676115666087,65.1430283691973,0.833467293881546,0.781855578063161,0.885079009699931,"Ratlantic_Y1944","atlantic",1944
"46","Ratlantic_Y1958","data",200,"Rarefaction",0,56.4943953821027,49.8280856042624,63.160705159943,0.824660323153707,0.788944715468742,0.860375930838672,"Ratlantic_Y1958","atlantic",1958
"47","Ratlantic_Y1959","data",200,"Rarefaction",0,69.9031493534051,63.3608757449169,76.4454229618933,0.794984063255362,0.762031671578243,0.827936454932482,"Ratlantic_Y1959","atlantic",1959
"48","Ratlantic_Y1960","data",200,"Rarefaction",0,71.652742646341,63.8721992142244,79.4332860784577,0.7784765699369,0.736749880294349,0.820203259579452,"Ratlantic_Y1960","atlantic",1960
"49","Ratlantic_Y1963","data",200,"Rarefaction",0,58.9334751010652,54.8910860397682,62.9758641623621,0.870368068046478,0.852610176298272,0.888125959794684,"Ratlantic_Y1963","atlantic",1963
"50","Ratlantic_Y1964","data",200,"Rarefaction",0,65.4608688571213,61.9281936677861,68.9935440464565,0.861878648730712,0.845161499142138,0.878595798319286,"Ratlantic_Y1964","atlantic",1964
"51","Ratlantic_Y1965","data",200,"Rarefaction",0,65.5287567273596,61.9531242331344,69.1043892215849,0.853999532009822,0.839922910625479,0.868076153394165,"Ratlantic_Y1965","atlantic",1965
"52","Ratlantic_Y1966","data",200,"Rarefaction",0,75.341875338152,70.9796965099154,79.7040541663886,0.780655977524568,0.761473735101141,0.799838219947996,"Ratlantic_Y1966","atlantic",1966
"53","Ratlantic_Y1967","data",200,"Rarefaction",0,71.7136130931879,68.3321524703375,75.0950737160384,0.802434324828869,0.786797975144811,0.818070674512926,"Ratlantic_Y1967","atlantic",1967
"54","Ratlantic_Y1968","data",200,"Rarefaction",0,81.1560694756717,76.4106795902728,85.9014593610706,0.786847330198652,0.765777683885622,0.807916976511682,"Ratlantic_Y1968","atlantic",1968
"55","Ratlantic_Y1969","data",200,"Rarefaction",0,73.3195303395246,67.8589486989561,78.7801119800931,0.791524844923948,0.76764036593688,0.815409323911015,"Ratlantic_Y1969","atlantic",1969
"56","Ratlantic_Y1970","data",200,"Rarefaction",0,91.2901468601454,87.0714176983512,95.5088760219396,0.728054999996057,0.706992618373416,0.749117381618698,"Ratlantic_Y1970","atlantic",1970
"57","Ratlantic_Y1971","data",200,"Rarefaction",0,86.6955623729732,81.4250584891171,91.9660662568292,0.768267194678411,0.746993679385954,0.789540709970868,"Ratlantic_Y1971","atlantic",1971
"58","Ratlantic_Y1972","data",200,"Rarefaction",0,86.3027305414363,82.1625900514455,90.4428710314272,0.750828256562407,0.731581243796649,0.770075269328165,"Ratlantic_Y1972","atlantic",1972
"59","Ratlantic_Y1973","data",200,"Rarefaction",0,69.7995980057012,64.9218537054132,74.6773423059893,0.769838562640562,0.746429099591033,0.793248025690091,"Ratlantic_Y1973","atlantic",1973
"60","Ratlantic_Y1974","data",200,"Rarefaction",0,86.0445827392739,81.1137471572103,90.9754183213376,0.760682112661093,0.738791149915424,0.782573075406762,"Ratlantic_Y1974","atlantic",1974
"61","Ratlantic_Y1975","data",200,"Rarefaction",0,71.9651418716069,68.7150306207685,75.2152531224452,0.795400896947574,0.781004922582086,0.809796871313062,"Ratlantic_Y1975","atlantic",1975
"62","Ratlantic_Y1976","data",200,"Rarefaction",0,80.5537136124832,77.1935739003682,83.9138533245981,0.769502835354717,0.756389137399725,0.78261653330971,"Ratlantic_Y1976","atlantic",1976
"63","Ratlantic_Y1977","data",200,"Rarefaction",0,72.2409078626935,68.4713042885514,76.0105114368356,0.776535334954804,0.760355086412042,0.792715583497567,"Ratlantic_Y1977","atlantic",1977
"64","Ratlantic_Y1978","data",200,"Rarefaction",0,67.0773612139426,64.59906878148,69.5556536464053,0.778830594646217,0.768958049043614,0.788703140248821,"Ratlantic_Y1978","atlantic",1978
"65","Ratlantic_Y1979","data",200,"Rarefaction",0,51.5555646940945,48.9037331360562,54.2073962521328,0.815850188685238,0.806580910304587,0.825119467065888,"Ratlantic_Y1979","atlantic",1979
"66","Ratlantic_Y1980","data",200,"Rarefaction",0,53.9465879622737,51.8931037480071,56.0000721765403,0.811614207397201,0.804035554330859,0.819192860463543,"Ratlantic_Y1980","atlantic",1980
"67","Ratlantic_Y1981","data",200,"Rarefaction",0,69.5617979076483,66.998745121495,72.1248506938016,0.77275711612036,0.761563064285494,0.783951167955226,"Ratlantic_Y1981","atlantic",1981
"68","Ratlantic_Y1982","data",200,"Rarefaction",0,62.7101729128552,60.240274171928,65.1800716537824,0.791289121043625,0.781591394811621,0.80098684727563,"Ratlantic_Y1982","atlantic",1982
"69","Ratlantic_Y1983","data",200,"Rarefaction",0,67.2062667664806,63.8337779947898,70.5787555381715,0.781264968360249,0.768848930440567,0.793681006279932,"Ratlantic_Y1983","atlantic",1983
"70","Ratlantic_Y1984","data",200,"Rarefaction",0,69.608976235913,66.7987508246752,72.4192016471508,0.769379872609157,0.758925314863304,0.77983443035501,"Ratlantic_Y1984","atlantic",1984
"71","Ratlantic_Y1985","data",200,"Rarefaction",0,61.238547277881,59.1737484329621,63.3033461227998,0.811475006380049,0.802394351037675,0.820555661722422,"Ratlantic_Y1985","atlantic",1985
"72","Ratlantic_Y1986","data",200,"Rarefaction",0,57.3477068073947,55.9619169709055,58.733496643884,0.830473581174283,0.824594485043704,0.836352677304861,"Ratlantic_Y1986","atlantic",1986
"73","Ratlantic_Y1987","data",200,"Rarefaction",0,51.4763206876993,50.2245420803023,52.7280992950964,0.844145409101574,0.839800476098077,0.848490342105072,"Ratlantic_Y1987","atlantic",1987
"74","Ratlantic_Y1988","data",200,"Rarefaction",0,68.0564866113638,66.547139508054,69.5658337146736,0.797189607987611,0.791099822094038,0.803279393881183,"Ratlantic_Y1988","atlantic",1988
"75","Ratlantic_Y1989","data",200,"Rarefaction",0,56.4552521626936,54.8125425328652,58.0979617925221,0.825066730853542,0.818775671030688,0.831357790676396,"Ratlantic_Y1989","atlantic",1989
"76","Ratlantic_Y1990","data",200,"Rarefaction",0,69.8590168362693,67.611561512129,72.1064721604096,0.782923483756612,0.774011442714186,0.791835524799039,"Ratlantic_Y1990","atlantic",1990
"77","Ratlantic_Y1991","data",200,"Rarefaction",0,64.9831395031732,62.9892429878136,66.9770360185328,0.779305190833409,0.771579161209913,0.787031220456904,"Ratlantic_Y1991","atlantic",1991
"78","Ratlantic_Y1992","data",200,"Rarefaction",0,52.7459397188378,51.3238772321458,54.1680022055299,0.818141822337644,0.81168132348162,0.824602321193668,"Ratlantic_Y1992","atlantic",1992
"79","Ratlantic_Y1993","data",200,"Rarefaction",0,53.0224739256078,51.6186116165024,54.4263362347131,0.814608148930604,0.809349216552262,0.819867081308946,"Ratlantic_Y1993","atlantic",1993
"80","Ratlantic_Y1994","data",200,"Rarefaction",0,53.5687351060806,51.9073008377246,55.2301693744367,0.816746591627158,0.810040546527431,0.823452636726886,"Ratlantic_Y1994","atlantic",1994
"81","Ratlantic_Y1995","data",200,"Rarefaction",0,63.082758350042,61.1752315169708,64.9902851831133,0.791579228270014,0.783667737588352,0.799490718951677,"Ratlantic_Y1995","atlantic",1995
"82","Ratlantic_Y1996","data",200,"Rarefaction",0,58.8832408497792,57.038242281348,60.7282394182104,0.803073091936729,0.79619857425422,0.809947609619237,"Ratlantic_Y1996","atlantic",1996
"83","Ratlantic_Y1997","data",200,"Rarefaction",0,53.8062898603151,52.470871150787,55.1417085698432,0.824373633130272,0.819577604684044,0.8291696615765,"Ratlantic_Y1997","atlantic",1997
"84","Ratlantic_Y1998","data",200,"Rarefaction",0,41.7661376406269,40.5333318077958,42.998943473458,0.863228232686749,0.857953345272651,0.868503120100848,"Ratlantic_Y1998","atlantic",1998
"85","Ratlantic_Y1999","data",200,"Rarefaction",0,56.5250833598831,54.8059874234001,58.2441792963662,0.821389697570673,0.815734123202207,0.827045271939139,"Ratlantic_Y1999","atlantic",1999
"86","Ratlantic_Y2000","data",200,"Rarefaction",0,65.3447525274009,63.5883619681324,67.1011430866693,0.78453593298593,0.777830534547215,0.791241331424646,"Ratlantic_Y2000","atlantic",2000
"87","Ratlantic_Y2001","data",200,"Rarefaction",0,45.6177226856104,44.3115132742302,46.9239320969907,0.841197880968981,0.836183108058429,0.846212653879533,"Ratlantic_Y2001","atlantic",2001
"88","Ratlantic_Y2002","data",200,"Rarefaction",0,55.6253878916601,54.2598631076978,56.9909126756224,0.821032779181829,0.815007953059133,0.827057605304525,"Ratlantic_Y2002","atlantic",2002
"89","Ratlantic_Y2003","data",200,"Rarefaction",0,54.9401848719661,53.3144779496922,56.5658917942399,0.814241285551471,0.807626369451649,0.820856201651294,"Ratlantic_Y2003","atlantic",2003
"90","Ratlantic_Y2004","data",200,"Rarefaction",0,55.4279160244182,53.4990382450258,57.3567938038107,0.82585291296096,0.818486190861484,0.833219635060436,"Ratlantic_Y2004","atlantic",2004
"91","Ratlantic_Y2005","data",200,"Rarefaction",0,64.1699457573679,62.4646373018657,65.8752542128701,0.800663815682481,0.793473742883169,0.807853888481793,"Ratlantic_Y2005","atlantic",2005
"92","Ratlantic_Y2006","data",200,"Rarefaction",0,66.3656567204005,64.9954379538304,67.7358754869707,0.797633948703592,0.791633231502827,0.803634665904358,"Ratlantic_Y2006","atlantic",2006
"93","Ratlantic_Y2007","data",200,"Rarefaction",0,59.7824176154032,58.4860694977947,61.0787657330117,0.811126248343249,0.805582805390267,0.81666969129623,"Ratlantic_Y2007","atlantic",2007
"94","Ratlantic_Y2008","data",200,"Rarefaction",0,47.2130416554122,45.8119333513013,48.6141499595231,0.847283075961896,0.841780988857673,0.852785163066118,"Ratlantic_Y2008","atlantic",2008
"95","Ratlantic_Y2009","data",200,"Rarefaction",0,48.7992585674094,47.8909735040444,49.7075436307745,0.836690748038043,0.833028909276662,0.840352586799424,"Ratlantic_Y2009","atlantic",2009
"96","Ratlantic_Y2010","data",200,"Rarefaction",0,63.6538093972407,62.6810534762622,64.626565318219,0.802125472289533,0.798219897896735,0.806031046682331,"Ratlantic_Y2010","atlantic",2010
"97","Ratlantic_Y2011","data",200,"Rarefaction",0,55.8316832930595,54.8239760904968,56.8393904956223,0.820217231867461,0.816042390946327,0.824392072788596,"Ratlantic_Y2011","atlantic",2011
"98","Ratlantic_Y2012","data",200,"Rarefaction",0,55.6734424919784,54.837790019764,56.5090949641929,0.823527854027522,0.820080936137777,0.826974771917267,"Ratlantic_Y2012","atlantic",2012
"99","Ratlantic_Y2013","data",200,"Rarefaction",0,48.8440123730538,48.0825258358376,49.6054989102701,0.838759692449748,0.835395212662083,0.842124172237412,"Ratlantic_Y2013","atlantic",2013
"100","Ratlantic_Y2014","data",200,"Rarefaction",0,44.3948356290844,43.6391534888499,45.1505177693188,0.849969628964136,0.84674003471508,0.853199223213192,"Ratlantic_Y2014","atlantic",2014
"101","Ratlantic_Y2015","data",200,"Rarefaction",0,47.9301685457926,47.0322798938822,48.8280571977029,0.842934261066059,0.83924134700421,0.846627175127907,"Ratlantic_Y2015","atlantic",2015
"102","Ratlantic_Y2016","data",200,"Rarefaction",0,39.8654322214513,39.1624754110307,40.5683890318719,0.873230227005388,0.870489918557877,0.875970535452898,"Ratlantic_Y2016","atlantic",2016
"103","Ratlantic_Y2017","data",200,"Rarefaction",0,45.3388403953448,44.504098405366,46.1735823853237,0.856702631199948,0.853082392726589,0.860322869673307,"Ratlantic_Y2017","atlantic",2017
"104","Ratlantic_Y2018","data",200,"Rarefaction",0,46.6592858956734,46.0353666557054,47.2832051356415,0.851392306811418,0.848904698399293,0.853879915223544,"Ratlantic_Y2018","atlantic",2018
"105","Ratlantic_Y2019","data",200,"Rarefaction",0,41.3767426046819,40.8323008791141,41.9211843302497,0.866757258865141,0.864466791503953,0.86904772622633,"Ratlantic_Y2019","atlantic",2019
"106","Ratlantic_Y2020","data",200,"Rarefaction",0,37.8137368633439,37.4530224256961,38.1744513009916,0.892241275073715,0.890884893489907,0.893597656657522,"Ratlantic_Y2020","atlantic",2020
"107","Rboreal_Y1966","data",200,"Rarefaction",0,71.1130691039148,67.096126958011,75.1300112498185,0.863733330165624,0.847873345900856,0.879593314430391,"Rboreal_Y1966","boreal",1966
"108","Rboreal_Y1967","data",200,"Rarefaction",0,79.28929378333,73.6632843683344,84.9153031983256,0.851559092942552,0.814297553152336,0.888820632732767,"Rboreal_Y1967","boreal",1967
"109","Rboreal_Y1969","data",200,"Rarefaction",0,78.0759336861587,72.0719974381235,84.079869934194,0.833358431344325,0.806958986372206,0.859757876316444,"Rboreal_Y1969","boreal",1969
"110","Rboreal_Y1975","data",200,"Rarefaction",0,87.5479966978543,80.4998915523454,94.5961018433632,0.814843529389195,0.78272870809626,0.84695835068213,"Rboreal_Y1975","boreal",1975
"111","Rboreal_Y1976","data",200,"Rarefaction",0,78.9965167486577,73.5983653859672,84.3946681113483,0.825484388323708,0.804133153301194,0.846835623346221,"Rboreal_Y1976","boreal",1976
"112","Rboreal_Y1978","data",200,"Rarefaction",0,68.9294835602573,63.4866505526819,74.3723165678327,0.85971506427226,0.835212385404456,0.884217743140064,"Rboreal_Y1978","boreal",1978
"113","Rboreal_Y1979","data",200,"Rarefaction",0,69.0941414257833,62.5946618665624,75.5936209850043,0.87240876642706,0.844994978265965,0.899822554588155,"Rboreal_Y1979","boreal",1979
"114","Rboreal_Y1980","data",200,"Rarefaction",0,77.1881399703181,69.354529350087,85.0217505905491,0.787328566483419,0.747486421969042,0.827170710997797,"Rboreal_Y1980","boreal",1980
"115","Rboreal_Y1981","data",200,"Rarefaction",0,77.8535918882394,71.2907888694081,84.4163949070707,0.820800147949959,0.784397358945436,0.857202936954482,"Rboreal_Y1981","boreal",1981
"116","Rboreal_Y1982","data",200,"Rarefaction",0,76.6094935326037,71.2642922505605,81.9546948146468,0.815120718256266,0.787811624222152,0.842429812290379,"Rboreal_Y1982","boreal",1982
"117","Rboreal_Y1983","data",200,"Rarefaction",0,73.8440759060505,67.7610402465129,79.9271115655881,0.823312088247924,0.797968768059767,0.84865540843608,"Rboreal_Y1983","boreal",1983
"118","Rboreal_Y1984","data",200,"Rarefaction",0,71.9596912856558,67.17953925323,76.7398433180817,0.880468582217144,0.857584031124115,0.903353133310173,"Rboreal_Y1984","boreal",1984
"119","Rboreal_Y1985","data",200,"Rarefaction",0,84.4264376017013,79.5516050978303,89.3012701055722,0.82900501761283,0.80631456143476,0.851695473790901,"Rboreal_Y1985","boreal",1985
"120","Rboreal_Y1986","data",200,"Rarefaction",0,90.9968574132466,85.6480019904615,96.3457128360318,0.74486682413379,0.720519975319825,0.769213672947755,"Rboreal_Y1986","boreal",1986
"121","Rboreal_Y1988","data",200,"Rarefaction",0,67.07088333211,60.276042209426,73.865724454794,0.869470872406618,0.838386983712517,0.900554761100719,"Rboreal_Y1988","boreal",1988
"122","Rboreal_Y1989","data",200,"Rarefaction",0,78.7017709094122,71.8079489206033,85.5955928982211,0.834047813946597,0.790462698176384,0.87763292971681,"Rboreal_Y1989","boreal",1989
"123","Rboreal_Y1990","data",200,"Rarefaction",0,88.0720317516307,81.9488634916649,94.1952000115965,0.782743969372086,0.75518808575522,0.810299852988951,"Rboreal_Y1990","boreal",1990
"124","Rboreal_Y1991","data",200,"Rarefaction",0,71.40502780951,63.9828911572157,78.8271644618042,0.852073642196272,0.80589728686827,0.898249997524274,"Rboreal_Y1991","boreal",1991
"125","Rboreal_Y1993","data",200,"Rarefaction",0,66.3410353706215,59.6240481966716,73.0580225445714,0.86119607335217,0.82209818354455,0.900293963159789,"Rboreal_Y1993","boreal",1993
"126","Rboreal_Y1994","data",200,"Rarefaction",0,65.5264451134135,61.26345633545,69.789433891377,0.867080476014981,0.848078294294213,0.88608265773575,"Rboreal_Y1994","boreal",1994
"127","Rboreal_Y1995","data",200,"Rarefaction",0,71.3806148935753,65.4860220534811,77.2752077336695,0.836099624974331,0.80222682033161,0.869972429617053,"Rboreal_Y1995","boreal",1995
"128","Rboreal_Y1996","data",200,"Rarefaction",0,82.4989665429484,77.7236986163175,87.2742344695793,0.828480876546933,0.807740283166657,0.849221469927209,"Rboreal_Y1996","boreal",1996
"129","Rboreal_Y1997","data",200,"Rarefaction",0,85.4191188943508,80.5963360234921,90.2419017652094,0.810376544187583,0.79111277672155,0.829640311653617,"Rboreal_Y1997","boreal",1997
"130","Rboreal_Y1998","data",200,"Rarefaction",0,87.085767369626,82.3283969012823,91.8431378379697,0.787542560854743,0.767687632368782,0.807397489340703,"Rboreal_Y1998","boreal",1998
"131","Rboreal_Y1999","data",200,"Rarefaction",0,98.5251548365931,94.8934966117898,102.156813061396,0.749971063887483,0.733382781328789,0.766559346446178,"Rboreal_Y1999","boreal",1999
"132","Rboreal_Y2000","data",200,"Rarefaction",0,83.0195191405834,79.541309268797,86.4977290123697,0.81561048139391,0.800188310781031,0.831032652006788,"Rboreal_Y2000","boreal",2000
"133","Rboreal_Y2001","data",200,"Rarefaction",0,81.0985050873216,78.4507865835998,83.7462235910433,0.822214619424933,0.810462268999366,0.833966969850499,"Rboreal_Y2001","boreal",2001
"134","Rboreal_Y2002","data",200,"Rarefaction",0,84.4964963438669,81.8469992441164,87.1459934436175,0.804341669987395,0.79292296425713,0.81576037571766,"Rboreal_Y2002","boreal",2002
"135","Rboreal_Y2003","data",200,"Rarefaction",0,90.1578535634093,88.1760693159498,92.1396378108689,0.791821246820143,0.782819423160027,0.800823070480259,"Rboreal_Y2003","boreal",2003
"136","Rboreal_Y2004","data",200,"Rarefaction",0,87.2033524718725,85.0933521823573,89.3133527613878,0.795773582560181,0.785964062048134,0.805583103072228,"Rboreal_Y2004","boreal",2004
"137","Rboreal_Y2005","data",200,"Rarefaction",0,91.1206592030338,89.1044485275853,93.1368698784823,0.777179810677939,0.767917756344871,0.786441865011007,"Rboreal_Y2005","boreal",2005
"138","Rboreal_Y2006","data",200,"Rarefaction",0,96.1858579203733,93.9268823300983,98.4448335106483,0.767157119428417,0.75605020608928,0.778264032767554,"Rboreal_Y2006","boreal",2006
"139","Rboreal_Y2007","data",200,"Rarefaction",0,91.7803014805201,90.1545295148442,93.4060734461961,0.77722834195953,0.770551874580272,0.783904809338789,"Rboreal_Y2007","boreal",2007
"140","Rboreal_Y2008","data",200,"Rarefaction",0,92.7828012488047,90.8828298598309,94.6827726377785,0.778547703540347,0.770337901310921,0.786757505769773,"Rboreal_Y2008","boreal",2008
"141","Rboreal_Y2009","data",200,"Rarefaction",0,91.687238117594,89.8869812489592,93.4874949862289,0.779570968911911,0.771080367729957,0.788061570093864,"Rboreal_Y2009","boreal",2009
"142","Rboreal_Y2010","data",200,"Rarefaction",0,93.8088257450817,91.8368646050284,95.7807868851351,0.775428844446702,0.766040801926107,0.784816886967297,"Rboreal_Y2010","boreal",2010
"143","Rboreal_Y2011","data",200,"Rarefaction",0,93.3561724261753,90.6361514925564,96.0761933597942,0.767810254399207,0.757126168699808,0.778494340098607,"Rboreal_Y2011","boreal",2011
"144","Rboreal_Y2012","data",200,"Rarefaction",0,84.4562275480774,82.5212602680964,86.3911948280584,0.778600661503848,0.77098959448216,0.786211728525537,"Rboreal_Y2012","boreal",2012
